file	title	author	licence	url
music-fma-0098	“No Tears, No Rust” (by Quiet Music for Tiny Robots)	Quiet Music for Tiny Robots	CC BY 4.0	http://freemusicarchive.org/music/Quiet_Music_for_Tiny_Robots/The_February_Album
music-fma-0100	“Quiet” (by Quiet Music for Tiny Robots)	Quiet Music for Tiny Robots	CC BY 4.0	http://freemusicarchive.org/music/Quiet_Music_for_Tiny_Robots/The_February_Album
music-fma-0010		Arne Huseby	Stormy Blues by Arne Huseby is licensed under a Attribution 3.0 International License.	http://freemusicarchive.org/music/arnebhus/arnebhus_-_Singles/
music-fma-0011		Arne Huseby	Stormy Blues by Arne Huseby is licensed under a Attribution 3.0 International License.	http://freemusicarchive.org/music/arnebhus/arnebhus_-_Singles/
music-fma-0118		U.S. Army Blues	Live At Blues Alley by U.S. Army Blues is licensed under a Public Domain Mark 1.0 License.	http://freemusicarchive.org/music/US_Army_Blues/Live_At_Blues_Alley/
music-fma-0121		U.S. Army Blues	Live At Blues Alley by U.S. Army Blues is licensed under a Public Domain Mark 1.0 License.	http://freemusicarchive.org/music/US_Army_Blues/Live_At_Blues_Alley/
music-fma-0124		U.S. Army Blues	Live At Blues Alley by U.S. Army Blues is licensed under a Public Domain Mark 1.0 License.	http://freemusicarchive.org/music/US_Army_Blues/Live_At_Blues_Alley/
music-fma-0119		U.S. Army Blues	Live At Blues Alley by U.S. Army Blues is licensed under a Public Domain Mark 1.0 License.	http://freemusicarchive.org/music/US_Army_Blues/Live_At_Blues_Alley/
music-fma-0122		U.S. Army Blues	Live At Blues Alley by U.S. Army Blues is licensed under a Public Domain Mark 1.0 License.	http://freemusicarchive.org/music/US_Army_Blues/Live_At_Blues_Alley/
music-fma-0120		U.S. Army Blues	Live At Blues Alley by U.S. Army Blues is licensed under a Public Domain Mark 1.0 License.	http://freemusicarchive.org/music/US_Army_Blues/Live_At_Blues_Alley/
music-fma-0123		U.S. Army Blues	Live At Blues Alley by U.S. Army Blues is licensed under a Public Domain Mark 1.0 License.	http://freemusicarchive.org/music/US_Army_Blues/Live_At_Blues_Alley/
